peak,first ascents,last ascents,short_peaks
Algonquin,974,30,Algonquin
Allen,36,1029,Allen
Armstrong,20,20,Armstrong
Basin,23,189,Basin
Big Slide,497,302,Big Slide
Blake,9,93,Blake
Cascade,2426,159,Cascade
Cliff,18,193,Cliff
Colden,352,526,Colden
Colvin,97,24,Colvin
Couchsachraga,38,348,Couch.
Dial,88,55,Dial
Dix,199,291,Dix
Donaldson,8,24,Donaldson
Emmons,2,350,Emmons
Esther,93,271,Esther
Giant,1100,96,Giant
Gothics,220,87,Gothics
Grace,22,112,Grace
Gray,28,186,Gray
Haystack,138,826,Haystack
Hough,4,138,Hough
Iroquois,19,332,Iroquois
Lower Wolf Jaw,290,48,L. Wolfjaw
Macomb,110,51,Macomb
Marcy,2097,455,Marcy
Marshall,43,332,Marshall
Nippletop,47,107,Nippletop
Nye,27,79,Nye
Panther,38,217,Panther
Phelps,547,132,Phelps
Porter,444,97,Porter
Redfield,16,283,Redfield
Rocky Peak Ridge,69,402,RPR
Saddleback,52,335,Saddleback
Santanoni,59,239,Santanoni
Sawteeth,103,354,Sawteeth
Seward,37,94,Seward
Seymour,62,441,Seymour
Skylight,72,509,Skylight
South Dix,7,6,South Dix
Street,48,87,Street
Tabletop,79,120,Tabletop
Unknown,7,0,Unknown
Upper Wolf Jaw,73,12,U. Wolfjaw
Whiteface,316,1346,Whiteface
Wright,508,135,Wright
